dla.go.th,"HTTPSConnectionPool(host='dla.go.th', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f51d1048460>, 'Connection to dla.go.th timed out. (connect timeout=2)'))","HTTPConnectionPool(host='dla.go.th', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f51cf6a9eb0>, 'Connection to dla.go.th timed out. (connect timeout=2)'))"
dlt.go.th,"HTTPSConnectionPool(host='dlt.go.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='dlt.go.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
dmkt-sp.jp,"HTTPSConnectionPool(host='dmkt-sp.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f51caf2c760>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='dmkt-sp.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f51d01610a0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
dmr.go.th,"HTTPSConnectionPool(host='dmr.go.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f51cfdd2370>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='dmr.go.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f51c9398100>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
dnb.com,"HTTPSConnectionPool(host='www.dnb.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.dnb.com', port=443): Read timed out. (read timeout=2)"
dnp.go.th,"HTTPSConnectionPool(host='dnp.go.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f51d0dda130>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='dnp.go.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f51ca7077f0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
dnp.gov.co,"HTTPSConnectionPool(host='dnp.gov.co', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f51d20f01c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))","HTTPConnectionPool(host='dnp.gov.co', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f51ca7074f0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
dobrenoviny.sk,"HTTPSConnectionPool(host='www.dobrenoviny.sk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.dobrenoviny.sk', port=443): Read timed out. (read timeout=2)"
docomo.ne.jp,"HTTPSConnectionPool(host='docomo.ne.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f51c940fb80>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='docomo.ne.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f51c94070a0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
documentonews.gr,"HTTPSConnectionPool(host='www.documentonews.gr', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.documentonews.gr', port=443): Read timed out. (read timeout=2)"
