registraduria.gov.co,"HTTPSConnectionPool(host='registraduria.gov.co', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fecf5eca7f0>, 'Connection to registraduria.gov.co timed out. (connect timeout=2)'))","HTTPConnectionPool(host='registraduria.gov.co', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fecf66662e0>, 'Connection to registraduria.gov.co timed out. (connect timeout=2)'))"
repositorioinstitucional.mx,"HTTPSConnectionPool(host='repositorioinstitucional.mx', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fecf1942bb0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='repositorioinstitucional.mx', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fecf7bda700>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
rero.ch,"HTTPSConnectionPool(host='rero.ch', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'rero.ch' doesn't match either of 'www.rero.ch', '*.rero.ch', '*.test.rero.ch'"")))","HTTPSConnectionPool(host='www.rero.ch', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1129)')))"
resepmasakanku.net,"HTTPSConnectionPool(host='resepmasakanku.net', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='resepmasakanku.net', port=80): Read timed out. (read timeout=2)"
residenzak1.it,"HTTPSConnectionPool(host='residenzak1.it', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='residenzak1.it', port=80): Read timed out. (read timeout=2)"
rest.co.il,"HTTPSConnectionPool(host='rest.co.il', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.rest.co.il', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
retikul.hu,"HTTPSConnectionPool(host='www.retikul.hu', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.retikul.hu', port=443): Read timed out. (read timeout=2)"
revistaei.cl,"HTTPSConnectionPool(host='revistaei.cl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fecf795ec40>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='revistaei.cl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fecf7d83190>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
revistasbolivianas.org.bo,"HTTPSConnectionPool(host='revistasbolivianas.org.bo', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fecf91b3070>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='revistasbolivianas.org.bo', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fecf8952730>, 'Connection to revistasbolivianas.org.bo timed out. (connect timeout=2)'))"
rewind.sk,"HTTPSConnectionPool(host='rewind.sk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='rewind.sk', port=443): Read timed out. (read timeout=2)"
