iaen.edu.ec,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
imprentanacional.go.cr,"HTTPSConnectionPool(host='imprentanacional.go.cr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f689bc29a90>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='imprentanacional.go.cr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6893921670>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
impreseita.com,"HTTPSConnectionPool(host='impreseita.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f6895b636d0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))","HTTPConnectionPool(host='impreseita.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f689363fe50>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
imt-ip.pt,"HTTPSConnectionPool(host='imt-ip.pt', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f689b7fd580>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='imt-ip.pt', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68934f6f40>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
imtranslator.net,"HTTPSConnectionPool(host='imtranslator.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='imtranslator.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
imunita.online,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
in.gr,"HTTPSConnectionPool(host='in.gr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.in.gr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1129)')))"
inafed.gob.mx,"HTTPSConnectionPool(host='inafed.gob.mx', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f689c429dc0>, 'Connection to inafed.gob.mx timed out. (connect timeout=2)'))","HTTPConnectionPool(host='inafed.gob.mx', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6899f35cd0>, 'Connection to inafed.gob.mx timed out. (connect timeout=2)'))"
inclusion.gob.ec,"HTTPSConnectionPool(host='inclusion.gob.ec', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'inclusion.gob.ec' doesn't match either of 'www.agricultura.gob.ec', 'agricultura.gob.ec'"")))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
indap.gob.cl,"('Connection aborted.', BadStatusLine('\n'))","HTTPConnectionPool(host='www.indap.gob.cl', port=80): Read timed out. (read timeout=2)"
indexlivingmall.com,"HTTPSConnectionPool(host='indexlivingmall.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f689339bd90>, 'Connection to indexlivingmall.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='indexlivingmall.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f689a2748e0>, 'Connection to indexlivingmall.com timed out. (connect timeout=2)'))"
indonesia.go.id,"HTTPSConnectionPool(host='indonesia.go.id', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.indonesia.go.id', port=443): Read timed out. (read timeout=2)"
ine.gob.gt,"HTTPSConnectionPool(host='ine.gob.gt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'ine.gob.gt' doesn't match 'www.ine.gob.gt'"")))","HTTPSConnectionPool(host='www.ine.gob.gt', port=443): Read timed out. (read timeout=2)"
ine.gub.uy,"HTTPSConnectionPool(host='ine.gub.uy', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='ine.gub.uy', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
inefop.org.uy,"HTTPSConnectionPool(host='inefop.org.uy', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f689a9a1160>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='inefop.org.uy', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f689a9a1790>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
inews.bg,"HTTPSConnectionPool(host='inews.bg', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='inews.bg', port=443): Read timed out. (read timeout=2)"
infarmed.pt,"HTTPSConnectionPool(host='infarmed.pt', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f689b1b5640>, 'Connection to infarmed.pt timed out. (connect timeout=2)'))","HTTPConnectionPool(host='infarmed.pt', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f68933e2280>, 'Connection to infarmed.pt timed out. (connect timeout=2)'))"
infocenters.co.il,"HTTPSConnectionPool(host='infocenters.co.il', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='infocenters.co.il', port=443): Read timed out. (read timeout=2)"
infogate.cl,"HTTPSConnectionPool(host='infogate.cl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.infogate.cl', port=443): Read timed out. (read timeout=2)"
infojuht.ee,"HTTPSConnectionPool(host='infojuht.ee', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='infojuht.ee', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
infonegocios.info,"HTTPSConnectionPool(host='infonegocios.info', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='infonegocios.info', port=443): Read timed out. (read timeout=2)"
infoprision.com,"HTTPSConnectionPool(host='infoprision.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'infoprision.com' doesn't match 'www.infoprision.com'"")))","HTTPSConnectionPool(host='infoprision.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'infoprision.com' doesn't match 'www.infoprision.com'"")))"
infoproff.com,"HTTPSConnectionPool(host='infoproff.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.infoproff.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
infopublik.id,"HTTPSConnectionPool(host='infopublik.id', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='infopublik.id', port=443): Read timed out. (read timeout=2)"
informa.es,"HTTPSConnectionPool(host='www.informa.es', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.informa.es', port=443): Read timed out. (read timeout=2)"
information.dk,"HTTPSConnectionPool(host='information.dk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.information.dk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1129)')))"
ing.be,"HTTPSConnectionPool(host='ing.be', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='ing.be', port=80): Read timed out. (read timeout=2)"
inia.cl,"HTTPSConnectionPool(host='www.inia.cl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.inia.cl', port=443): Read timed out. (read timeout=2)"
ins-cr.com,"HTTPSConnectionPool(host='ins-cr.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f6892840850>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='ins-cr.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f689a243d30>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
insse.ro,"HTTPSConnectionPool(host='insse.ro', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f68934c7670>: Failed to establish a new connection: [Errno 101] Network is unreachable'))","HTTPConnectionPool(host='insse.ro', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6895f19b20>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
intercars.com.pl,"HTTPSConnectionPool(host='intercars.com.pl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='intercars.com.pl', port=443): Read timed out. (read timeout=2)"
intermarche.pt,"HTTPSConnectionPool(host='www.intermarche.pt', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.intermarche.pt', port=443): Read timed out. (read timeout=2)"
